,Dates,Type
228,2019-08-17,Weekend
229,2019-08-18,Weekday
230,2019-08-19,Weekday
231,2019-08-20,Weekday
232,2019-08-21,Weekday
233,2019-08-22,Weekday
234,2019-08-23,Weekend
235,2019-08-24,Weekend
236,2019-08-25,Weekday
237,2019-08-26,Weekday
238,2019-08-27,Weekday
239,2019-08-28,Weekday
240,2019-08-29,Weekday
241,2019-08-30,Weekend
242,2019-08-31,Weekend
243,2019-09-01,Weekday
244,2019-09-02,Weekday
245,2019-09-03,Weekday
246,2019-09-04,Weekday
247,2019-09-05,Weekday
248,2019-09-06,Weekend
249,2019-09-07,Weekend
250,2019-09-08,Weekday
251,2019-09-09,Weekday
252,2019-09-10,Holiday
253,2019-09-11,Weekday
254,2019-09-12,Weekday
255,2019-09-13,Weekend
256,2019-09-14,Weekend
257,2019-09-15,Weekday
258,2019-09-16,Weekday
259,2019-09-17,Weekday
260,2019-09-18,Weekday
261,2019-09-19,Weekday
262,2019-09-20,Weekend
263,2019-09-21,Weekend
264,2019-09-22,Weekday
265,2019-09-23,Weekday
266,2019-09-24,Weekday
267,2019-09-25,Weekday
268,2019-09-26,Weekday
269,2019-09-27,Weekend
270,2019-09-28,Weekend
271,2019-09-29,Weekday
272,2019-09-30,Weekday
273,2019-10-01,Weekday
274,2019-10-02,Weekday
275,2019-10-03,Weekday
276,2019-10-04,Weekend
277,2019-10-05,Weekend
278,2019-10-06,Weekday
279,2019-10-07,Weekday
280,2019-10-08,Holiday
281,2019-10-09,Weekday
282,2019-10-10,Weekday
283,2019-10-11,Weekend
284,2019-10-12,Weekend
285,2019-10-13,Weekday
286,2019-10-14,Weekday
287,2019-10-15,Weekday
288,2019-10-16,Weekday
289,2019-10-17,Weekday
290,2019-10-18,Weekend
291,2019-10-19,Weekend
292,2019-10-20,Weekday
293,2019-10-21,Weekday
294,2019-10-22,Weekday
295,2019-10-23,Weekday
296,2019-10-24,Weekday
297,2019-10-25,Weekend
298,2019-10-26,Weekend
299,2019-10-27,Weekday
300,2019-10-28,Weekday
301,2019-10-29,Weekday
302,2019-10-30,Weekday
303,2019-10-31,Weekday
304,2019-11-01,Weekend
305,2019-11-02,Weekend
306,2019-11-03,Weekday
307,2019-11-04,Weekday
308,2019-11-05,Weekday
309,2019-11-06,Weekday
310,2019-11-07,Weekday
311,2019-11-08,Weekend
312,2019-11-09,Weekend
313,2019-11-10,Holiday
314,2019-11-11,Weekday
315,2019-11-12,Weekday
316,2019-11-13,Weekday
317,2019-11-14,Weekday
318,2019-11-15,Weekend
319,2019-11-16,Weekend
320,2019-11-17,Weekday
321,2019-11-18,Weekday
322,2019-11-19,Weekday
323,2019-11-20,Weekday
324,2019-11-21,Weekday
325,2019-11-22,Weekend
326,2019-11-23,Weekend
327,2019-11-24,Weekday
328,2019-11-25,Weekday
329,2019-11-26,Weekday
330,2019-11-27,Weekday
331,2019-11-28,Weekday
332,2019-11-29,Weekend
333,2019-11-30,Weekend
334,2019-12-01,Weekday
335,2019-12-02,Weekday
336,2019-12-03,Weekday
337,2019-12-04,Weekday
338,2019-12-05,Weekday
339,2019-12-06,Weekend
340,2019-12-07,Weekend
341,2019-12-08,Weekday
342,2019-12-09,Weekday
343,2019-12-10,Weekday
344,2019-12-11,Weekday
345,2019-12-12,Weekday
346,2019-12-13,Weekend
347,2019-12-14,Weekend
348,2019-12-15,Weekday
349,2019-12-16,Holiday
350,2019-12-17,Weekday
351,2019-12-18,Weekday
352,2019-12-19,Weekday
353,2019-12-20,Weekend
354,2019-12-21,Weekend
355,2019-12-22,Weekday
356,2019-12-23,Weekday
357,2019-12-24,Weekday
358,2019-12-25,Holiday
359,2019-12-26,Weekday
360,2019-12-27,Weekend
361,2019-12-28,Weekend
362,2019-12-29,Weekday
363,2019-12-30,Weekday
364,2019-12-31,Weekday
